pctl,cons60,cons15,mult,gap
0,96.59,100,1.035304,3.41
0.5,87.81,93.22,1.06161,5.41
1,86.76,92.59,1.067197,5.83
1.5,86.05,92.28,1.0724,6.23
2,85.49,91.89,1.074863,6.4
2.5,85.02,91.65,1.077982,6.63
3,84.62,91.48,1.081068,6.86
3.5,84.25,91.2,1.082493,6.95
4,83.91,91,1.084495,7.09
4.5,83.63,90.84,1.086213,7.21
5,83.36,90.65,1.087452,7.29
5.5,83.11,90.53,1.089279,7.42
6,82.88,90.37,1.090372,7.49
6.5,82.65,90.24,1.091833,7.59
7,82.44,90.08,1.092673,7.64
7.5,82.25,89.96,1.093739,7.71
8,82.06,89.86,1.095052,7.8
8.5,81.87,89.7,1.095639,7.83
9,81.69,89.6,1.096829,7.91
9.5,81.52,89.5,1.09789,7.98
10,81.35,89.37,1.098586,8.02
10.5,81.18,89.25,1.099409,8.07
11,81.02,89.17,1.100592,8.15
11.5,80.87,89.05,1.10115,8.18
12,80.72,88.98,1.102329,8.26
12.5,80.57,88.85,1.102768,8.28
13,80.44,88.73,1.103058,8.29
13.5,80.3,88.67,1.104234,8.37
14,80.16,88.55,1.104666,8.39
14.5,80.04,88.47,1.105322,8.43
15,79.9,88.37,1.106008,8.47
15.5,79.78,88.25,1.106167,8.47
16,79.66,88.14,1.106452,8.48
16.5,79.54,88.09,1.107493,8.55
17,79.42,87.96,1.10753,8.54
17.5,79.3,87.89,1.108323,8.59
18,79.18,87.83,1.109245,8.65
18.5,79.07,87.73,1.109523,8.66
19,78.95,87.62,1.109816,8.67
19.5,78.84,87.53,1.110223,8.69
20,78.74,87.43,1.110363,8.69
20.5,78.62,87.34,1.110913,8.72
21,78.51,87.25,1.111323,8.74
21.5,78.4,87.2,1.112245,8.8
22,78.29,87.09,1.112403,8.8
22.5,78.19,87.02,1.11293,8.83
23,78.08,86.94,1.113473,8.86
23.5,77.98,86.84,1.113619,8.86
24,77.88,86.74,1.113765,8.86
24.5,77.79,86.63,1.113639,8.84
25,77.69,86.57,1.1143,8.88
25.5,77.6,86.48,1.114433,8.88
26,77.49,86.41,1.115112,8.92
26.5,77.4,86.33,1.115375,8.93
27,77.3,86.24,1.115653,8.94
27.5,77.21,86.18,1.116177,8.97
28,77.11,86.08,1.116327,8.97
28.5,77.02,86.01,1.116723,8.99
29,76.92,85.88,1.116485,8.96
29.5,76.83,85.79,1.116621,8.96
30,76.74,85.7,1.116758,8.96
30.5,76.65,85.63,1.117156,8.98
31,76.56,85.56,1.117555,9
31.5,76.46,85.47,1.117839,9.01
32,76.37,85.38,1.117978,9.01
32.5,76.28,85.29,1.118117,9.01
33,76.19,85.21,1.118388,9.02
33.5,76.1,85.13,1.11866,9.03
34,76.01,85.07,1.119195,9.06
34.5,75.92,85,1.1196,9.08
35,75.83,84.91,1.119742,9.08
35.5,75.75,84.77,1.119076,9.02
36,75.66,84.68,1.119218,9.02
36.5,75.56,84.63,1.120037,9.07
37,75.48,84.53,1.119899,9.05
37.5,75.39,84.44,1.120042,9.05
38,75.31,84.37,1.120303,9.06
38.5,75.22,84.3,1.120713,9.08
39,75.14,84.18,1.120309,9.04
39.5,75.05,84.07,1.120187,9.02
40,74.96,84.01,1.120731,9.05
40.5,74.87,83.91,1.120743,9.04
41,74.79,83.84,1.121005,9.05
41.5,74.7,83.77,1.121419,9.07
42,74.61,83.69,1.1217,9.08
42.5,74.52,83.58,1.121578,9.06
43,74.44,83.51,1.121843,9.07
43.5,74.34,83.36,1.121334,9.02
44,74.26,83.29,1.1216,9.03
44.5,74.17,83.21,1.121882,9.04
45,74.08,83.12,1.12203,9.04
45.5,74,83.04,1.122162,9.04
46,73.92,82.98,1.122565,9.06
46.5,73.82,82.83,1.122054,9.01
47,73.75,82.76,1.122169,9.01
47.5,73.65,82.67,1.122471,9.02
48,73.57,82.59,1.122604,9.02
48.5,73.47,82.48,1.122635,9.01
49,73.38,82.38,1.122649,9
49.5,73.29,82.29,1.1228,9
50,73.21,82.21,1.122934,9
50.5,73.12,82.11,1.122949,8.99
51,73.04,82.06,1.123494,9.02
51.5,72.95,81.94,1.123235,8.99
52,72.86,81.81,1.122838,8.95
52.5,72.77,81.73,1.123128,8.96
53,72.69,81.63,1.122988,8.94
53.5,72.59,81.55,1.123433,8.96
54,72.5,81.44,1.12331,8.94
54.5,72.41,81.32,1.123049,8.91
55,72.31,81.23,1.123358,8.92
55.5,72.22,81.14,1.123511,8.92
56,72.13,81.04,1.123527,8.91
56.5,72.03,80.93,1.12356,8.9
57,71.94,80.88,1.12427,8.94
57.5,71.86,80.73,1.123434,8.87
58,71.76,80.58,1.12291,8.82
58.5,71.66,80.49,1.123221,8.83
59,71.57,80.39,1.123236,8.82
59.5,71.48,80.3,1.123391,8.82
60,71.38,80.21,1.123704,8.83
60.5,71.29,80.09,1.123439,8.8
61,71.19,79.99,1.123613,8.8
61.5,71.09,79.88,1.123646,8.79
62,70.99,79.77,1.123679,8.78
62.5,70.89,79.67,1.123854,8.78
63,70.79,79.57,1.124029,8.78
63.5,70.69,79.46,1.124063,8.77
64,70.58,79.33,1.123973,8.75
64.5,70.49,79.18,1.12328,8.69
65,70.39,79.06,1.123171,8.67
65.5,70.28,78.97,1.123648,8.69
66,70.18,78.89,1.124109,8.71
66.5,70.07,78.72,1.123448,8.65
67,69.96,78.62,1.123785,8.66
67.5,69.86,78.52,1.123962,8.66
68,69.74,78.39,1.124032,8.65
68.5,69.64,78.25,1.123636,8.61
69,69.52,78.11,1.123562,8.59
69.5,69.41,77.98,1.123469,8.57
70,69.3,77.83,1.123088,8.53
70.5,69.18,77.76,1.124024,8.58
71,69.06,77.63,1.124095,8.57
71.5,68.94,77.49,1.124021,8.55
72,68.82,77.31,1.123365,8.49
72.5,68.7,77.19,1.123581,8.49
73,68.58,77.06,1.123651,8.48
73.5,68.45,76.91,1.123594,8.46
74,68.33,76.75,1.123226,8.42
74.5,68.2,76.63,1.123607,8.43
75,68.06,76.49,1.123861,8.43
75.5,67.93,76.33,1.123657,8.4
76,67.79,76.17,1.123617,8.38
76.5,67.66,76.03,1.123707,8.37
77,67.51,75.82,1.123093,8.31
77.5,67.36,75.65,1.12307,8.29
78,67.23,75.51,1.123159,8.28
78.5,67.08,75.37,1.123584,8.29
79,66.92,75.14,1.122833,8.22
79.5,66.77,75.02,1.123558,8.25
80,66.61,74.84,1.123555,8.23
80.5,66.45,74.62,1.12295,8.17
81,66.29,74.45,1.123095,8.16
81.5,66.12,74.21,1.122353,8.09
82,65.94,74.01,1.122384,8.07
82.5,65.78,73.83,1.122378,8.05
83,65.59,73.62,1.122427,8.03
83.5,65.41,73.44,1.122764,8.03
84,65.24,73.16,1.121398,7.92
84.5,65.02,72.91,1.121347,7.89
85,64.83,72.72,1.121703,7.89
85.5,64.62,72.47,1.121479,7.85
86,64.41,72.24,1.121565,7.83
86.5,64.19,71.96,1.121047,7.77
87,63.96,71.69,1.120857,7.73
87.5,63.74,71.45,1.12096,7.71
88,63.5,71.06,1.119055,7.56
88.5,63.23,70.85,1.120512,7.62
89,62.97,70.48,1.119263,7.51
89.5,62.69,70.16,1.119158,7.47
90,62.4,69.84,1.119231,7.44
90.5,62.08,69.47,1.11904,7.39
91,61.77,69.06,1.118018,7.29
91.5,61.44,68.63,1.117025,7.19
92,61.07,68.23,1.117243,7.16
92.5,60.69,67.73,1.115999,7.04
93,60.27,67.24,1.115646,6.97
93.5,59.83,66.66,1.114157,6.83
94,59.35,66.03,1.112553,6.68
94.5,58.83,65.46,1.112698,6.63
95,58.27,64.79,1.111893,6.52
95.5,57.64,63.93,1.109126,6.29
96,56.89,63.18,1.110564,6.29
96.5,56.05,62.15,1.108831,6.1
97,55.02,60.99,1.108506,5.97
97.5,53.76,59.52,1.107143,5.76
98,52.24,57.64,1.103369,5.4
98.5,50.22,55.13,1.09777,4.91
99,47.14,51.43,1.091006,4.29
99.5,41.47,43.94,1.059561,2.47
