pctl,raw60,raw15,mult,gap
0,300.76,315.79,1.049973,15.03
0.5,169.57,194.39,1.14637,24.82
1,159.36,183.97,1.15443,24.61
1.5,153.16,177.58,1.159441,24.42
2,148.39,172.79,1.164432,24.4
2.5,144.78,169.53,1.170949,24.75
3,141.58,166.36,1.175025,24.78
3.5,138.98,163.88,1.179162,24.9
4,136.59,161.52,1.182517,24.93
4.5,134.39,159.18,1.184463,24.79
5,132.58,157.49,1.187887,24.91
5.5,130.79,155.19,1.186559,24.4
6,129.35,153.59,1.187399,24.24
6.5,127.79,152.69,1.194851,24.9
7,126.57,151.15,1.194201,24.58
7.5,125.19,149.58,1.194824,24.39
8,123.98,148.68,1.199226,24.7
8.5,122.77,147.16,1.198664,24.39
9,121.57,146.23,1.202846,24.66
9.5,120.57,144.78,1.200796,24.21
10,119.57,143.92,1.203646,24.35
10.5,118.57,142.9,1.205195,24.33
11,117.57,141.59,1.204304,24.02
11.5,116.58,140.77,1.207497,24.19
12,115.59,139.96,1.210831,24.37
12.5,114.79,139.14,1.212126,24.35
13,113.99,138.31,1.213352,24.32
13.5,113.18,137.5,1.214879,24.32
14,112.39,136.7,1.2163,24.31
14.5,111.75,135.9,1.216107,24.15
15,110.97,135.1,1.217446,24.13
15.5,110.19,134.3,1.218804,24.11
16,109.4,133.52,1.220475,24.12
16.5,108.78,132.75,1.220353,23.97
17,108.16,131.96,1.220044,23.8
17.5,107.39,131.18,1.221529,23.79
18,106.79,130.39,1.220994,23.6
18.5,106.18,130.22,1.226408,24.04
19,105.58,129.5,1.226558,23.92
19.5,104.98,128.75,1.226424,23.77
20,104.39,127.97,1.225884,23.58
20.5,103.79,127.19,1.225455,23.4
21,103.36,126.94,1.228135,23.58
21.5,102.78,126.32,1.229033,23.54
22,102.19,125.57,1.22879,23.38
22.5,101.76,124.79,1.226317,23.03
23,101.18,124.62,1.231666,23.44
23.5,100.59,123.93,1.232031,23.34
24,100.16,123.18,1.229832,23.02
24.5,99.58,122.39,1.229062,22.81
25,98.99,122.31,1.235579,23.32
25.5,98.56,121.57,1.233462,23.01
26,97.98,120.79,1.232803,22.81
26.5,97.39,120.72,1.239552,23.33
27,96.97,119.98,1.23729,23.01
27.5,96.39,119.19,1.236539,22.8
28,95.97,119.13,1.241325,23.16
28.5,95.39,118.38,1.241011,22.99
29,94.97,117.59,1.23818,22.62
29.5,94.54,117.54,1.243283,23
30,93.99,116.78,1.242473,22.79
30.5,93.57,116.63,1.246447,23.06
31,92.99,115.96,1.247016,22.97
31.5,92.58,115.19,1.244221,22.61
32,92.18,115.11,1.248752,22.93
32.5,91.76,114.37,1.246404,22.61
33,91.19,113.59,1.245641,22.4
33.5,90.79,113.55,1.250688,22.76
34,90.38,112.79,1.247953,22.41
34.5,89.98,112.71,1.252612,22.73
35,89.58,111.98,1.250056,22.4
35.5,89.16,111.75,1.253365,22.59
36,88.59,111.16,1.254769,22.57
36.5,88.19,110.39,1.251729,22.2
37,87.79,110.33,1.256749,22.54
37.5,87.38,109.58,1.254063,22.2
38,86.98,109.52,1.25914,22.54
38.5,86.58,108.78,1.25641,22.2
39,86.18,108.57,1.259805,22.39
39.5,85.78,107.96,1.258568,22.18
40,85.38,107.19,1.255446,21.81
40.5,84.98,107.15,1.260885,22.17
41,84.57,106.39,1.258011,21.82
41.5,84.18,106.32,1.263008,22.14
42,83.78,105.58,1.260205,21.8
42.5,83.38,105.52,1.265531,22.14
43,82.98,104.78,1.262714,21.8
43.5,82.58,104.71,1.267983,22.13
44,82.18,103.98,1.265271,21.8
44.5,81.78,103.9,1.270482,22.12
45,81.39,103.17,1.2676,21.78
45.5,80.99,103.07,1.272626,22.08
46,80.59,102.37,1.270257,21.78
46.5,80.37,102.25,1.272241,21.88
47,79.98,101.57,1.269942,21.59
47.5,79.58,100.79,1.266524,21.21
48,79.18,100.76,1.272544,21.58
48.5,78.78,99.99,1.269231,21.21
49,78.39,99.96,1.275163,21.57
49.5,77.99,99.19,1.27183,21.2
50,77.75,99.15,1.275241,21.4
50.5,77.38,98.39,1.271517,21.01
51,76.98,98.32,1.277215,21.34
51.5,76.58,97.58,1.274223,21
52,76.19,97.52,1.279958,21.33
52.5,75.79,96.78,1.276949,20.99
53,75.58,96.66,1.27891,21.08
53.5,75.18,95.97,1.276536,20.79
54,74.79,95.19,1.272764,20.4
54.5,74.39,95.16,1.279204,20.77
55,74.18,94.39,1.272445,20.21
55.5,73.78,94.33,1.278531,20.55
56,73.39,93.58,1.275106,20.19
56.5,72.99,93.53,1.281408,20.54
57,72.77,92.78,1.274976,20.01
57.5,72.38,92.67,1.280326,20.29
58,71.98,91.97,1.277716,19.99
58.5,71.59,91.19,1.273781,19.6
59,71.37,91.16,1.277287,19.79
59.5,70.98,90.39,1.273457,19.41
60,70.59,90.34,1.279785,19.75
60.5,70.19,89.59,1.276393,19.4
61,69.79,89.53,1.282849,19.74
61.5,69.57,88.78,1.276125,19.21
62,69.18,88.7,1.282162,19.52
62.5,68.78,87.97,1.279006,19.19
63,68.38,87.19,1.27508,18.81
63.5,67.99,87.16,1.281953,19.17
64,67.59,86.39,1.278148,18.8
64.5,67.37,86.33,1.281431,18.96
65,66.98,85.58,1.277695,18.6
65.5,66.58,85.53,1.28462,18.95
66,66.19,84.78,1.280858,18.59
66.5,65.79,84.64,1.286518,18.85
67,65.58,83.97,1.280421,18.39
67.5,65.18,83.19,1.276312,18.01
68,64.79,83.15,1.283377,18.36
68.5,64.39,82.39,1.279547,18
69,64.18,82.34,1.282954,18.16
69.5,63.78,81.58,1.279084,17.8
70,63.39,81.5,1.285692,18.11
70.5,62.99,80.77,1.282267,17.78
71,62.77,79.99,1.274335,17.22
71.5,62.38,79.95,1.281661,17.57
72,61.98,79.18,1.277509,17.2
72.5,61.59,79.12,1.284624,17.53
73,61.19,78.37,1.280765,17.18
73.5,60.97,77.59,1.272593,16.62
74,60.58,77.54,1.27996,16.96
74.5,60.18,76.78,1.275839,16.6
75,59.78,75.99,1.271161,16.21
75.5,59.38,75.95,1.27905,16.57
76,58.98,75.18,1.274669,16.2
76.5,58.58,75.08,1.281666,16.5
77,58.18,74.36,1.278102,16.18
77.5,57.78,73.59,1.273624,15.81
78,57.38,73.5,1.280934,16.12
78.5,56.98,72.76,1.276939,15.78
79,56.58,71.98,1.272181,15.4
79.5,56.18,71.19,1.267177,15.01
80,55.77,71.14,1.275596,15.37
80.5,55.19,70.38,1.275231,15.19
81,54.79,69.59,1.270122,14.8
81.5,54.39,69.54,1.278544,15.15
82,53.98,68.77,1.27399,14.79
82.5,53.57,67.98,1.268994,14.41
83,52.99,67.19,1.267975,14.2
83.5,52.59,67.15,1.276859,14.56
84,52.18,66.37,1.271943,14.19
84.5,51.59,65.59,1.27137,14
85,51.19,64.79,1.265677,13.6
85.5,50.78,64.75,1.275108,13.97
86,50.19,63.96,1.274357,13.77
86.5,49.78,63.18,1.269184,13.4
87,49.19,62.39,1.268347,13.2
87.5,48.78,61.59,1.262608,12.81
88,48.19,61.53,1.276821,13.34
88.5,47.76,60.75,1.271985,12.99
89,47.18,59.96,1.270877,12.78
89.5,46.58,59.16,1.270073,12.58
90,45.98,58.36,1.269247,12.38
90.5,45.38,57.56,1.2684,12.18
91,44.77,56.76,1.267813,11.99
91.5,43.99,55.95,1.27188,11.96
92,43.38,55.14,1.271093,11.76
92.5,42.59,53.59,1.258277,11
93,41.98,52.79,1.257504,10.81
93.5,41.18,51.98,1.262263,10.8
94,40.39,51.16,1.26665,10.77
94.5,39.58,49.59,1.252906,10.01
95,38.59,48.76,1.26354,10.17
95.5,37.59,47.19,1.255387,9.6
96,36.59,46.34,1.266466,9.75
96.5,35.58,44.76,1.25801,9.18
97,34.19,43.16,1.262357,8.97
97.5,32.79,40.79,1.243977,8
98,31.19,39.15,1.25521,7.96
98.5,29.38,35.99,1.224983,6.61
99,26.59,32.78,1.232794,6.19
99.5,22.59,27.95,1.237273,5.36
